unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1707955200,2024-02-15 00:00:00,ETH/USDT,2774.6,2865.0,2760.0,2822.8,207.90729400,586880.7095032
1707868800,2024-02-14 00:00:00,ETH/USDT,2639.9,2784.6,2621.5,2775.5,223.10798473,619236.211618115
1707782400,2024-02-13 00:00:00,ETH/USDT,2662.2,2686.0,2592.0,2639.0,222.10328057,586130.55742423
1707696000,2024-02-12 00:00:00,ETH/USDT,2507.4,2665.0,2473.4,2657.9,196.06996870,521134.36980773
1707609600,2024-02-11 00:00:00,ETH/USDT,2500.4,2538.0,2494.1,2507.1,78.22245882,196111.52650762198
1707523200,2024-02-10 00:00:00,ETH/USDT,2488.5,2515.6,2472.2,2497.5,70.02307536,174882.6307116
1707436800,2024-02-09 00:00:00,ETH/USDT,2419.9,2522.8,2419.8,2487.4,159.31269263,396274.391647862
1707350400,2024-02-08 00:00:00,ETH/USDT,2426.7,2462.9,2413.4,2420.4,119.70957698,289745.060122392
1707264000,2024-02-07 00:00:00,ETH/USDT,2375.9,2444.8,2354.9,2424.3,164.36862455,398478.856496565
1707177600,2024-02-06 00:00:00,ETH/USDT,2300.5,2390.0,2300.4,2373.2,299.53097597,710846.9121720039
1707091200,2024-02-05 00:00:00,ETH/USDT,2289.3,2333.3,2273.0,2292.8,38.05096474,87243.25195587201
1707004800,2024-02-04 00:00:00,ETH/USDT,2293.9,2310.3,2269.8,2289.9,81.82649007,187374.47961129303
1706918400,2024-02-03 00:00:00,ETH/USDT,2309.4,2328.5,2293.6,2295.1,54.22074992,124442.043141392
1706832000,2024-02-02 00:00:00,ETH/USDT,2304.1,2324.3,2285.7,2308.2,35.22873997,81314.97759875399
1706745600,2024-02-01 00:00:00,ETH/USDT,2286.7,2307.0,2244.0,2303.1,107.56903669,247742.248400739
1706659200,2024-01-31 00:00:00,ETH/USDT,2342.4,2348.3,2270.6,2286.7,406.95283249,930579.0420548829
1706572800,2024-01-30 00:00:00,ETH/USDT,2312.3,2389.9,2298.6,2344.4,324.55647539,760890.200904316
1706486400,2024-01-29 00:00:00,ETH/USDT,2251.3,2317.9,2240.2,2316.6,139.29935825,322700.89332195
1706400000,2024-01-28 00:00:00,ETH/USDT,2267.8,2305.8,2242.1,2257.0,100.24857076,226261.02420532002
1706313600,2024-01-27 00:00:00,ETH/USDT,2267.6,2280.0,2253.1,2267.0,113.99067964,258416.87074388
1706227200,2024-01-26 00:00:00,ETH/USDT,2217.4,2281.4,2196.3,2267.7,199.35498536,452077.30030087195
1706140800,2024-01-25 00:00:00,ETH/USDT,2233.9,2241.6,2174.4,2220.3,169.61709212,376600.829634036
1706054400,2024-01-24 00:00:00,ETH/USDT,2237.8,2264.3,2202.4,2236.8,122.17718459,273285.92649091204
1705968000,2024-01-23 00:00:00,ETH/USDT,2322.1,2349.7,2170.3,2245.3,367.70498479,825608.0023489872
1705881600,2024-01-22 00:00:00,ETH/USDT,2458.2,2462.8,2302.9,2311.7,1387.39310170,3207236.6331998897
1705795200,2024-01-21 00:00:00,ETH/USDT,2472.4,2480.5,2453.1,2453.1,37.32920048,91572.261697488
1705708800,2024-01-20 00:00:00,ETH/USDT,2484.9,2490.3,2455.3,2472.0,82.28592268,203410.80086496
1705622400,2024-01-19 00:00:00,ETH/USDT,2464.5,2502.3,2416.6,2492.0,178.76961736,445493.88646112004
1705536000,2024-01-18 00:00:00,ETH/USDT,2530.6,2545.1,2428.6,2470.5,147.99217586,365614.67046213
1705449600,2024-01-17 00:00:00,ETH/USDT,2586.6,2589.6,2510.0,2530.7,75.37955651,190763.04365985698
1705363200,2024-01-16 00:00:00,ETH/USDT,2511.7,2613.2,2503.8,2587.3,144.87204640,374827.44565072
1705276800,2024-01-15 00:00:00,ETH/USDT,2474.6,2553.8,2474.6,2513.6,97.67899079,245525.91124974398
1705190400,2024-01-14 00:00:00,ETH/USDT,2575.7,2575.7,2470.0,2470.0,89.72394366,221618.1408402
1705104000,2024-01-13 00:00:00,ETH/USDT,2525.5,2589.7,2499.4,2581.4,56.60803113,146127.971558982
1705017600,2024-01-12 00:00:00,ETH/USDT,2618.5,2710.0,2456.4,2524.3,400.68006622,1011436.6911591461
1704931200,2024-01-11 00:00:00,ETH/USDT,2585.9,2688.1,2470.0,2620.8,349.18268083,915137.969919264
1704844800,2024-01-10 00:00:00,ETH/USDT,2357.5,2635.2,2342.9,2581.9,683.79237263,1765483.526893397
1704758400,2024-01-09 00:00:00,ETH/USDT,2332.5,2373.2,2005.0,2344.8,606.46534543,1422039.941964264
1704672000,2024-01-08 00:00:00,ETH/USDT,2221.4,2356.7,2173.0,2330.4,314.01349558,731777.050099632
1704585600,2024-01-07 00:00:00,ETH/USDT,2239.9,2256.2,2206.4,2221.5,155.77395047,346051.83096910495
1704499200,2024-01-06 00:00:00,ETH/USDT,2268.1,2269.7,2217.9,2239.9,91.39140490,204707.60783551
1704412800,2024-01-05 00:00:00,ETH/USDT,2266.2,2275.6,2207.2,2266.8,206.52007433,468139.70449124405
1704326400,2024-01-04 00:00:00,ETH/USDT,2208.4,2294.3,2203.8,2266.9,148.60441946,336871.35847387405
1704240000,2024-01-03 00:00:00,ETH/USDT,2355.1,2384.5,2022.0,2210.0,694.44269179,1534718.3488559
1704153600,2024-01-02 00:00:00,ETH/USDT,2349.2,2430.0,2343.8,2353.9,135.70421722,319434.156914158
1704067200,2024-01-01 00:00:00,ETH/USDT,2284.3,2350.2,2271.9,2349.4,61.14482537,143653.652724278
1703980800,2023-12-31 00:00:00,ETH/USDT,2291.4,2320.6,2259.0,2281.3,83.61934324,190760.80773341202
1703894400,2023-12-30 00:00:00,ETH/USDT,2299.1,2322.0,2267.7,2290.6,114.03804568,261215.547434608
1703808000,2023-12-29 00:00:00,ETH/USDT,2345.2,2385.0,2254.5,2293.5,400.41544389,918352.820561715
1703721600,2023-12-28 00:00:00,ETH/USDT,2379.0,2442.9,2334.5,2344.9,220.94223856,518087.455199344
1703635200,2023-12-27 00:00:00,ETH/USDT,2230.9,2390.0,2212.7,2375.1,297.61765323,706871.6881865729
1703548800,2023-12-26 00:00:00,ETH/USDT,2270.4,2273.5,2180.0,2231.0,215.24436242,480210.17255902
1703462400,2023-12-25 00:00:00,ETH/USDT,2263.9,2301.6,2253.9,2272.2,35.95305501,81692.531593722
1703376000,2023-12-24 00:00:00,ETH/USDT,2308.7,2325.1,2244.4,2267.4,78.03566271,176938.061628654
1703289600,2023-12-23 00:00:00,ETH/USDT,2325.4,2329.8,2267.6,2309.8,90.52451964,209093.535464472
1703203200,2023-12-22 00:00:00,ETH/USDT,2240.1,2340.0,2233.2,2324.6,222.97922942,518337.51670973195
1703116800,2023-12-21 00:00:00,ETH/USDT,2198.9,2277.4,2183.8,2236.3,123.35843744,275866.47364707204
1703030400,2023-12-20 00:00:00,ETH/USDT,2176.7,2265.6,2159.5,2200.5,289.95029639,638035.627206195
1702944000,2023-12-19 00:00:00,ETH/USDT,2216.7,2252.8,2138.2,2176.8,231.74443310,504461.28197208006
